año	nombre	código	créditos
2007	ÁFRICA, NO ESPECIFICADOS	002	0
2007	OCEANÍA, NO ESPECIFICADOS	009	0
2007	AMÉRICA, NO ESPECIFICADOS	019	0
2007	ASIA, NO ESPECIFICADOS	142	0
2007	EUROPA, NO ESPECIFICADOS	150	0
2008	ÁFRICA, NO ESPECIFICADOS	002	0
2008	OCEANÍA, NO ESPECIFICADOS	009	0
2008	AMÉRICA, NO ESPECIFICADOS	019	10863
2008	ASIA, NO ESPECIFICADOS	142	0
2008	EUROPA, NO ESPECIFICADOS	150	0
2009	ÁFRICA, NO ESPECIFICADOS	002	0
2009	OCEANÍA, NO ESPECIFICADOS	009	0
2009	AMÉRICA, NO ESPECIFICADOS	019	4343671
2009	ASIA, NO ESPECIFICADOS	142	0
2009	EUROPA, NO ESPECIFICADOS	150	0
2010	ÁFRICA, NO ESPECIFICADOS	002	10200000
2010	OCEANÍA, NO ESPECIFICADOS	009	0
2010	AMÉRICA, NO ESPECIFICADOS	019	9150
2010	ASIA, NO ESPECIFICADOS	142	0
2010	EUROPA, NO ESPECIFICADOS	150	0
2011	ÁFRICA, NO ESPECIFICADOS	002	0
2011	OCEANÍA, NO ESPECIFICADOS	009	0
2011	AMÉRICA, NO ESPECIFICADOS	019	0
2011	ASIA, NO ESPECIFICADOS	142	0
2011	EUROPA, NO ESPECIFICADOS	150	0
2012	ÁFRICA, NO ESPECIFICADOS	002	487320.39
2012	OCEANÍA, NO ESPECIFICADOS	009	0
2012	AMÉRICA, NO ESPECIFICADOS	019	0
2012	ASIA, NO ESPECIFICADOS	142	0
2012	EUROPA, NO ESPECIFICADOS	150	0
