año	nombre	código	total
2007	ÁFRICA, NO ESPECIFICADOS	002	12558073
2007	OCEANÍA, NO ESPECIFICADOS	009	0
2007	AMÉRICA, NO ESPECIFICADOS	019	47659419
2007	ASIA, NO ESPECIFICADOS	142	2367000
2007	EUROPA, NO ESPECIFICADOS	150	1232900
2008	ÁFRICA, NO ESPECIFICADOS	002	121027318
2008	OCEANÍA, NO ESPECIFICADOS	009	3691624
2008	AMÉRICA, NO ESPECIFICADOS	019	492034963
2008	ASIA, NO ESPECIFICADOS	142	53003395
2008	EUROPA, NO ESPECIFICADOS	150	30948758
2009	ÁFRICA, NO ESPECIFICADOS	002	116992398
2009	OCEANÍA, NO ESPECIFICADOS	009	1972656
2009	AMÉRICA, NO ESPECIFICADOS	019	196003178
2009	ASIA, NO ESPECIFICADOS	142	17799211
2009	EUROPA, NO ESPECIFICADOS	150	20646758
2010	ÁFRICA, NO ESPECIFICADOS	002	64063771
2010	OCEANÍA, NO ESPECIFICADOS	009	5506199
2010	AMÉRICA, NO ESPECIFICADOS	019	292428397
2010	ASIA, NO ESPECIFICADOS	142	11871977
2010	EUROPA, NO ESPECIFICADOS	150	24066349
2011	ÁFRICA, NO ESPECIFICADOS	002	22123175
2011	OCEANÍA, NO ESPECIFICADOS	009	1212535
2011	AMÉRICA, NO ESPECIFICADOS	019	118294855
2011	ASIA, NO ESPECIFICADOS	142	29952675
2011	EUROPA, NO ESPECIFICADOS	150	38532311
2012	ÁFRICA, NO ESPECIFICADOS	002	10631611.97
2012	OCEANÍA, NO ESPECIFICADOS	009	90474.23
2012	AMÉRICA, NO ESPECIFICADOS	019	11974812.660000002
2012	ASIA, NO ESPECIFICADOS	142	40604
2012	EUROPA, NO ESPECIFICADOS	150	732752.26
