año	país	créditos
2007	AF	0
2007	AL	0
2007	AM	0
2007	AO	6561004
2007	AR	5293076
2007	AZ	0
2007	BA	0
2007	BB	0
2007	BD	163944
2007	BF	0
2007	BI	0
2007	BJ	0
2007	BO	1840491
2007	BR	0
2007	BY	0
2007	BZ	0
2007	CD	0
2007	CF	0
2007	CG	0
2007	CI	0
2007	CL	0
2007	CM	1558381
2007	CN	25739582
2007	CO	3731541
2007	CR	1050838
2007	CU	0
2007	CV	138568
2007	DJ	0
2007	DO	2365754
2007	DZ	2541031
2007	EC	2360747
2007	EG	2359900
2007	EH	0
2007	ER	0
2007	ET	488020
2007	GA	0
2007	GH	310947
2007	GM	0
2007	GN	0
2007	GQ	0
2007	GT	0
2007	GW	0
2007	GY	0
2007	HN	1403678
2007	HT	0
2007	ID	24553537
2007	IN	141599
2007	IQ	0
2007	IR	0
2007	JM	0
2007	JO	0
2007	KE	148649
2007	KG	0
2007	KH	0
2007	KP	0
2007	KZ	0
2007	LB	0
2007	LC	0
2007	LK	0
2007	LR	0
2007	LS	0
2007	LY	0
2007	MA	19474393
2007	MD	0
2007	ME	0
2007	MG	0
2007	MK	0
2007	ML	0
2007	MN	610619
2007	MR	151578
2007	MU	0
2007	MW	1165714
2007	MX	30789110
2007	MY	0
2007	MZ	0
2007	NA	994835
2007	NE	0
2007	NG	0
2007	NP	0
2007	PA	498817
2007	PE	7930451
2007	PG	0
2007	PH	4512176
2007	PK	0
2007	PS	0
2007	PY	30812
2007	RS	0
2007	RW	0
2007	SB	0
2007	SD	0
2007	SL	0
2007	SN	292640
2007	SO	0
2007	ST	0
2007	SV	833512
2007	SY	0
2007	TD	707718
2007	TG	0
2007	TH	0
2007	TJ	0
2007	TL	0
2007	TN	3256076
2007	TR	730532
2007	TT	0
2007	TZ	477914
2007	UA	0
2007	UG	1882834
2007	UY	1609085
2007	VE	0
2007	VN	1295952
2007	VU	0
2007	XK	0
2007	YE	0
2007	ZA	0
2007	ZM	0
2007	ZW	0
2008	AF	0
2008	AG	0
2008	AL	0
2008	AM	0
2008	AO	6902340
2008	AR	9402381
2008	AZ	0
2008	BA	0
2008	BB	0
2008	BD	294750
2008	BF	1179122
2008	BI	0
2008	BJ	0
2008	BO	2186219
2008	BR	0
2008	BT	0
2008	BW	0
2008	BY	0
2008	BZ	0
2008	CD	2749942
2008	CF	0
2008	CG	0
2008	CI	0
2008	CK	0
2008	CL	0
2008	CM	3610921
2008	CN	24619862
2008	CO	5404576
2008	CR	1364709
2008	CU	0
2008	CV	69414
2008	DJ	0
2008	DM	0
2008	DO	14582568
2008	DZ	4371623
2008	EC	3899521
2008	EG	474553
2008	EH	0
2008	ER	0
2008	ET	0
2008	FJ	0
2008	FM	0
2008	GA	0
2008	GD	0
2008	GE	0
2008	GH	1010318
2008	GM	0
2008	GN	0
2008	GQ	0
2008	GT	17139
2008	GW	5810
2008	GY	0
2008	HN	572198
2008	HR	0
2008	HT	0
2008	ID	15289133
2008	IN	128595
2008	IQ	0
2008	IR	0
2008	JM	0
2008	JO	0
2008	KE	325910
2008	KG	0
2008	KH	0
2008	KI	0
2008	KM	0
2008	KN	0
2008	KP	0
2008	KZ	0
2008	LA	0
2008	LB	0
2008	LC	0
2008	LK	0
2008	LR	0
2008	LS	0
2008	LY	0
2008	MA	13460726
2008	MD	0
2008	ME	0
2008	MG	0
2008	MH	0
2008	MK	0
2008	ML	0
2008	MM	0
2008	MN	0
2008	MR	0
2008	MS	0
2008	MU	0
2008	MV	0
2008	MW	0
2008	MX	26325185
2008	MY	0
