año	código	deuda
2007	005	5878160
2007	015	3803477
2007	021	10161353
2007	030	714274
2007	034	0
2007	143	0
2007	145	2588203
2008	005	24523073
2008	015	18486913
2008	021	31487425
2008	030	7987480
2008	034	737468
2008	143	1877807
2008	145	25230820
2009	005	17886137
2009	015	11564060
2009	021	19519309
2009	030	320237
2009	034	1043592
2009	143	2212248
2009	145	8449944
2010	005	25241784
2010	015	22744667
2010	021	28734614
2010	030	15056395
2010	034	10036655
2010	143	8462626
2010	145	9075871
2011	005	63350225
2011	015	100565689
2011	021	24433504
2011	030	361890
2011	034	1812697
2011	143	1835062
2011	145	10501789
2012	005	3229462.730000001
2012	015	2364325.2700000005
2012	021	32242833.61
2012	030	25468.11
2012	034	349051.07
2012	143	83942.94
2012	145	846237.0499999999
