año	nombre	código	total
2007	AMÉRICA DEL SUR, NO ESPECIFICADOS	005	5878160
2007	NORTE DE ÁFRICA, NO ESPECIFICADOS	015	3803477
2007	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS	021	10161353
2007	ASIA ORIENTAL, NO ESPECIFICADOS	030	714274
2007	ASIA SUR, NO ESPECIFICADOS	034	0
2007	ASIA CENTRAL, NO ESPECIFICADOS	143	0
2007	ORIENTE MEDIO, NO ESPECIFICADOS	145	2588203
2008	AMÉRICA DEL SUR, NO ESPECIFICADOS	005	24523073
2008	NORTE DE ÁFRICA, NO ESPECIFICADOS	015	18486913
2008	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS	021	27018598
2008	ASIA ORIENTAL, NO ESPECIFICADOS	030	7987480
2008	ASIA SUR, NO ESPECIFICADOS	034	737468
2008	ASIA CENTRAL, NO ESPECIFICADOS	143	1877807
2008	ORIENTE MEDIO, NO ESPECIFICADOS	145	25230820
2009	AMÉRICA DEL SUR, NO ESPECIFICADOS	005	17886137
2009	NORTE DE ÁFRICA, NO ESPECIFICADOS	015	11564060
2009	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS	021	19519309
2009	ASIA ORIENTAL, NO ESPECIFICADOS	030	320237
2009	ASIA SUR, NO ESPECIFICADOS	034	1043592
2009	ASIA CENTRAL, NO ESPECIFICADOS	143	2212248
2009	ORIENTE MEDIO, NO ESPECIFICADOS	145	8449944
2010	AMÉRICA DEL SUR, NO ESPECIFICADOS	005	25241784
2010	NORTE DE ÁFRICA, NO ESPECIFICADOS	015	22744667
2010	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS	021	24792948
2010	ASIA ORIENTAL, NO ESPECIFICADOS	030	15056395
2010	ASIA SUR, NO ESPECIFICADOS	034	10036655
2010	ASIA CENTRAL, NO ESPECIFICADOS	143	8462626
2010	ORIENTE MEDIO, NO ESPECIFICADOS	145	9075871
2011	AMÉRICA DEL SUR, NO ESPECIFICADOS	005	63350225
2011	NORTE DE ÁFRICA, NO ESPECIFICADOS	015	100565689
2011	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS	021	20143896
2011	ASIA ORIENTAL, NO ESPECIFICADOS	030	361890
2011	ASIA SUR, NO ESPECIFICADOS	034	1812697
2011	ASIA CENTRAL, NO ESPECIFICADOS	143	1835062
2011	ORIENTE MEDIO, NO ESPECIFICADOS	145	10501789
2012	AMÉRICA DEL SUR, NO ESPECIFICADOS	005	3229462.730000001
2012	NORTE DE ÁFRICA, NO ESPECIFICADOS	015	2364325.2700000005
2012	AMÉRICA DEL NORTE, CENTRAL Y CARIBE, NO ESPECIFICADOS	021	32075417.2
2012	ASIA ORIENTAL, NO ESPECIFICADOS	030	25468.11
2012	ASIA SUR, NO ESPECIFICADOS	034	349051.07
2012	ASIA CENTRAL, NO ESPECIFICADOS	143	83942.94
2012	ORIENTE MEDIO, NO ESPECIFICADOS	145	846237.0499999999
