año	CAD	CRS	num	total	deuda	créditos	nombre
2007	111	11110	209	8460523	8460523	0	Política educativa y gestión administrativa
2007	111	11120	384	27839914	27839914	0	Servicios e instalaciones educativas y formación
2007	111	11130	131	10373969	10373969	0	Formación de profesores
2007	111	11182	117	21115363	21115363	0	Investigación educativa
2007	112	11220	383	19520797	19520797	0	Educación primaria
2007	112	11230	165	10411221	10411221	0	Capacitación básica de jóvenes y adultos
2007	112	11240	73	1671009	1671009	0	Educación primera infancia
2007	113	11320	102	2242699	2242699	0	Educación secundaria
2007	113	11330	381	34847749	34847749	0	Formación profesional
2007	114	11420	541	37864238	37864238	0	Educación universitaria
2007	114	11430	149	16574909	16574909	0	Formación superior técnica y de dirección
2007	121	12110	171	8571577	8571577	0	Política sanitaria y gestión administrativa
2007	121	12181	32	2318905	2318905	0	Enseñanza y formación médicas
2007	121	12182	39	2104982	2104982	0	Investigación médica
2007	121	12191	168	7804730	7804730	0	Servicios médicos
2007	122	12220	301	23270642	23270642	0	Atención sanitaria básica
2007	122	12230	277	41875827	41875827	0	Infraestructura sanitaria básica
2007	122	12240	158	3956223	3956223	0	Nutrición básica
2007	122	12250	132	4306131	4306131	0	Control de enfermedades infecciosas
2007	122	12261	47	1817806	1817806	0	Educación sanitaria
2007	122	12262	13	1140016	1140016	0	Control de la malaria
2007	122	12263	7	175888	175888	0	Control de la tuberculosis
2007	122	12281	81	5114201	5114201	0	Formación personal sanitario
2007	130	13010	62	74382	74382	0	Política sobre población y gestión administrativa
2007	130	13020	185	13976428	13976428	0	Atención a la salud reproductiva
2007	130	13030	5	567344	567344	0	Planificación familiar
2007	130	13040	204	12119593	12119593	0	Lucha contra las ETS (Enf. Trans. Sexual), incluido el SIDA
2007	130	13081	9	411947	411947	0	Formación de personal para población y salud reproductiva
2007	140	14010	126	2473776	2473776	0	Política de recursos hídricos y gestión administrativa
2007	140	14015	48	424486	424486	0	Protección recursos hídricos
2007	140	14020	114	11939456	11939456	0	Abastecimiento y depuración de agua-sistemas de envergadura
2007	140	14030	502	31480551	31480551	0	Abastecimiento básico de agua potable y saneamiento básico
2007	140	14040	64	7050704	7050704	0	Desarrollo cuencas fluviales
2007	140	14050	97	1394813	1394813	0	Eliminación / tratamiento residuos sólidos
2007	140	14081	4	156632	156632	0	Educación y formación en abastecimiento de agua y saneamiento
2007	151	15110	183	12252030	12252030	0	Política de administración y gestión del sector público
2007	151	15130	127	8645772	8645772	0	Desarrollo legal y judicial
2007	151	15150	376	30480836	30480836	0	Fortalecimiento de la sociedad civil
2007	151	15162	210	11016534	11016534	0	Derechos humanos
2007	152	15210	27	2990962	2990962	0	Gestión y reforma de los sistemas de seguridad
2007	152	15220	94	3604124	3604124	0	Construcción de la paz y prevención de conflictos
2007	152	15230	40	3589727	3589727	0	Procesos de consolidación de la paz tras conflictos (NNUU)
2007	152	15240	19	2170376	2170376	0	Desmovilización y control de la prolif. armas ligeras (SALW)
2007	152	15250	36	1246075	1246075	0	Retirada de minas antipersonas
2007	152	15261	8	487263	487263	0	Niños soldados: prevención y desmovilización
2007	160	16010	534	27456168	27456168	0	Seguridad social, servicios sociales
2007	160	16020	146	12796444	12796444	0	Política de empleo y gestión administrativa
2007	160	16030	50	2005501	2005501	0	Política de vivienda y gestión administrativa
2007	160	16040	147	8802343	8802343	0	Viviendas de bajo coste
2007	160	16050	301	45815778	45815778	0	Ayuda multisectorial para servicios sociales básicos
2007	160	16061	267	53529404	53529404	0	Cultura y ocio
2007	160	16062	55	0	0	0	Capacitación estadística
2007	160	16063	31	286776	286776	0	Control de estupefacientes
2007	160	16064	12	393279	393279	0	Mitigación social del VIH / SIDA
2007	210	21010	91	891053	891053	0	Política de transportes y gestión administrativa
2007	210	21020	129	16415486	16415486	0	Transporte por carretera
2007	210	21030	89	90105095	90105095	0	Transporte por ferrocarril
2007	210	21040	83	828025	828025	0	Transporte marítimo y fluvial
2007	210	21050	86	5386887	5386887	0	Transporte aéreo
2007	210	21081	17	535088	535088	0	Enseñanza y formación en transporte y almacenamiento
2007	220	22010	39	370770	370770	0	Política de comunicaciones y gestión administrativa
2007	220	22020	71	211277	211277	0	Telecomunicaciones
2007	220	22030	36	4903158	4903158	0	Radio, televisión, prensa
