año	CAD	num	total	deuda	créditos	nombre
2007	111	841	67789769	67789769	0	EDUCACIÓN, NIVEL NO ESPECIFICADO
2007	112	621	31603027	31603027	0	EDUCACIÓN BÁSICA
2007	113	483	37090448	37090448	0	EDUCACIÓN SECUNDARIA
2007	114	690	54439147	54439147	0	EDUCACIÓN POST-SECUNDARIA
2007	121	410	20800194	20800194	0	SALUD, GENERAL
2007	122	1016	81656734	81656734	0	SALUD BÁSICA
2007	130	465	27149694	27149694	0	PROGR. / POLÍTICAS SOBRE POBL. Y SALUD REPR.
2007	140	955	54920418	54920418	0	ABASTECIMIENTO DE AGUA Y SANEAMIENTO
2007	151	2047	144613296	144613296	0	GOBIERNO Y SOCIEDAD CIVIL, NO ESPECIFICADO
2007	152	224	14088527	14088527	0	PREV. Y RESOL. DE CONFLICTOS, PAZ Y SEGURIDAD
2007	160	1543	151085693	151085693	0	OTROS SERVICIOS E INFRAESTRUCTURAS SOCIALES
2007	210	495	114161634	114161634	0	TRANSPORTE Y ALMACENAMIENTO
2007	220	227	6864629	6864629	0	COMUNICACIONES
2007	230	506	28708142	28708142	0	GENERACIÓN Y SUMINISTRO DE ENERGÍA. 
2007	240	220	56162502	56162502	0	SERVICIOS BANCARIOS Y FINANCIEROS
2007	250	119	3382544	3382544	0	EMPRESAS Y OTROS SERVICIOS
2007	300	1	300000	300000	0	SECTORES PRODUCTIVOS
2007	311	1345	53011138	53011138	0	AGRICULTURA
2007	312	114	1317434	1317434	0	SILVICULTURA
2007	313	167	18708951	18708951	0	PESCA
2007	321	514	21360309	21360309	0	INDUSTRIA
2007	322	71	344765	344765	0	INDUSTRIAS EXTRACTIVAS
2007	323	24	336510	336510	0	CONSTRUCCIÓN
2007	331	182	2230283	2230283	0	COMERCIO
2007	332	114	7642123	7642123	0	TURISMO
2007	410	613	42197338	42197338	0	PROTECCIÓN GENERAL DEL MEDIO AMBIENTE
2007	430	1010	91067271	91067271	0	OTROS MULTISECTORIAL
2007	510	93	20163125	20163125	0	APOYO PRESUPUESTARIO GENERAL
2007	520	93	6856701	6856701	0	AYUDA ALIM. PARA EL DES. / SEGURIDAD ALIMENTARIA
2007	600	32	194875495	194875495	0	ACTIVIDADES RELACIONADAS CON LA DEUDA 
2007	720	632	59436916	59436916	0	AYUDAS DE EMERGENCIA
2007	730	214	46684202	46684202	0	AYUDA A LA RECONSTRUCCIÓN Y REHABILITACIÓN
2007	740	59	5098891	5098891	0	PREVENCIÓN DE DESASTRES
2007	910	451	92732383	92732383	0	COSTES ADMINISTRATIVOS DONANTES.
2007	930	112	19114709	19114709	0	AYUDA A REFUGIADOS EN EL PAÍS DONANTE
2007	998	2174	-44244731	115751324	159996055	SIN ESPECIFICACIÓN / NO CLASIFICADOS.
2008	111 	931	138459255	140533462	2074207	EDUCACIÓN, NIVEL NO ESPECIFICADO
2008	112 	952	144101786	144101786	0	EDUCACIÓN BÁSICA
2008	113 	535	60734458	60786100	51642	EDUCACIÓN SECUNDARIA
2008	114 	629	90489995	90489995	0	EDUCACIÓN POST-SECUNDARIA
2008	121 	609	67137507	67826125	688618	SALUD, GENERAL
2008	122 	1519	249408067	257911602	8503535	SALUD BÁSICA
2008	130 	1227	179855643	179880593	24950	PROGR. / POLÍTICAS SOBRE POBL. Y SALUD REPR.
2008	140 	1073	449935069	451889676	1954607	ABASTECIMIENTO DE AGUA Y SANEAMIENTO
2008	151 	3574	468542341	469856008	1313667	GOBIERNO Y SOCIEDAD CIVIL, NO ESPECIFICADO
2008	152 	422	82495150	82495150	0	PREV. Y RESOL. DE CONFLICTOS, PAZ Y SEGURIDAD
2008	160 	2440	304393456	304393456	0	OTROS SERVICIOS E INFRAESTRUCTURAS SOCIALES
2008	210 	463	268472345	276825202	8352857	TRANSPORTE Y ALMACENAMIENTO
2008	220 	191	15245199	17327600	2082401	COMUNICACIONES
2008	230 	359	121801850	130165081	8363231	GENERACIÓN Y SUMINISTRO DE ENERGÍA. 
2008	240 	231	86036727	112196384	26159657	SERVICIOS BANCARIOS Y FINANCIEROS
2008	250 	185	43209816	43209816	0	EMPRESAS Y OTROS SERVICIOS
2008	311 	1228	156990522	156994052	3530	AGRICULTURA
2008	312 	121	6466115	6466115	0	SILVICULTURA
2008	313 	192	26946189	30165374	3219185	PESCA
2008	321 	397	31862418	35235814	3373396	INDUSTRIA
2008	322 	55	4190839	4342930	152091	INDUSTRIAS EXTRACTIVAS
2008	323 	16	14884796	14884796	0	CONSTRUCCIÓN
2008	331 	246	25640961	25640961	0	COMERCIO
2008	332 	150	11181228	11181228	0	TURISMO
2008	410 	792	144047528	144047528	0	PROTECCIÓN GENERAL DEL MEDIO AMBIENTE
2008	430 	1498	185544106	187232426	1688320	OTROS MULTISECTORIAL
2008	510 	139	121523232	121523232	0	APOYO PRESUPUESTARIO GENERAL
2008	520 	218	79563646	79563646	0	AYUDA ALIM. PARA EL DES. / SEGURIDAD ALIMENTARIA
2008	530 	9	0	0	0	OTRAS AYUDAS PARA LA ADQUISICIÓN DE BIENES
2008	600 	24	294359342	294359342	0	ACTIVIDADES RELACIONADAS CON LA DEUDA 
2008	720 	1104	272068054	280401387	8333333	AYUDAS DE EMERGENCIA
2008	730 	264	105693196	105693196	0	AYUDA A LA RECONSTRUCCIÓN Y REHABILITACIÓN
2008	740 	219	18165328	18165328	0	PREVENCIÓN DE DESASTRES
2008	910 	377	185882567	185882567	0	COSTES ADMINISTRATIVOS DONANTES.
2008	930 	132	28201567	28201567	0	AYUDA A REFUGIADOS EN EL PAÍS DONANTE
2008	998 	3128	265645367	372323475	106678108	SIN ESPECIFICACIÓN / NO CLASIFICADOS.
2009	111	1057	99037660	99808303	770643	EDUCACIÓN, NIVEL NO ESPECIFICADO
2009	112	989	139882503	139882503	0	EDUCACIÓN BÁSICA
2009	113	590	55637786	56751115	1113329	EDUCACIÓN SECUNDARIA
2009	114	884	48980684	50246415	1265731	EDUCACIÓN POST-SECUNDARIA
2009	121	810	129644865	130773233	1128368	SALUD, GENERAL
2009	122	1608	178569156	187620274	9051118	SALUD BÁSICA
2009	130	1509	190914113	190914113	0	PROGR. / POLÍTICAS SOBRE POBL. Y SALUD REPR.
2009	140	1344	421506278	428571009	7064731	ABASTECIMIENTO DE AGUA Y SANEAMIENTO
2009	151	4353	477742302	479734488	1992186	GOBIERNO Y SOCIEDAD CIVIL, NO ESPECIFICADO
2009	152	520	88811630	88811630	0	PREV. Y RESOL. DE CONFLICTOS, PAZ Y SEGURIDAD
2009	160	3231	270518553	270518553	0	OTROS SERVICIOS E INFRAESTRUCTURAS SOCIALES
2009	210	577	316258608	336420882	20162274	TRANSPORTE Y ALMACENAMIENTO
2009	220	333	11065705	13294217	2228512	COMUNICACIONES
2009	230	529	302738386	312455154	9716768	GENERACIÓN Y SUMINISTRO DE ENERGÍA. 
2009	240	401	-83278383	90050003	173328386	SERVICIOS BANCARIOS Y FINANCIEROS
2009	250	278	51759550	51759550	0	EMPRESAS Y OTROS SERVICIOS
2009	311	1898	201423704	201423704	0	AGRICULTURA
2009	312	220	10284723	10284723	0	SILVICULTURA
2009	313	218	24204497	29408565	5204068	PESCA
2009	321	688	38376204	42456864	4080660	INDUSTRIA
2009	322	98	7875235	7875235	0	INDUSTRIAS EXTRACTIVAS
2009	323	45	1350242	1350242	0	CONSTRUCCIÓN
2009	331	350	18515729	18515729	0	COMERCIO
2009	332	188	7524028	7524028	0	TURISMO
2009	410	1040	131056098	131056098	0	PROTECCIÓN GENERAL DEL MEDIO AMBIENTE
2009	430	2018	238895685	240587546	1691861	OTROS MULTISECTORIAL
2009	510	116	91419054	91419054	0	APOYO PRESUPUESTARIO GENERAL
2009	520	282	208185343	208185343	0	AYUDA ALIM. PARA EL DES. / SEGURIDAD ALIMENTARIA
2009	530	8	10373830	10373830	0	OTRAS AYUDAS PARA LA ADQUISICIÓN DE BIENES
2009	600	39	125855424	163989307	38133883	ACTIVIDADES RELACIONADAS CON LA DEUDA 
2009	720	1312	357849847	366183180	8333333	AYUDAS DE EMERGENCIA
2009	730	236	87408225	87408225	0	AYUDA A LA RECONSTRUCCIÓN Y REHABILITACIÓN
2009	740	239	19778761	19778761	0	PREVENCIÓN DE DESASTRES
2009	910	523	187563901	187563901	0	COSTES ADMINISTRATIVOS DONANTES.
2009	930	113	28435153	28435153	0	AYUDA A REFUGIADOS EN EL PAÍS DONANTE
2009	998	2914	224119691	225968986	1849295	SIN ESPECIFICACIÓN / NO CLASIFICADOS.
2010	111	1043	127874925	129737705	1862780	EDUCACIÓN, NIVEL NO ESPECIFICADO
2010	112	1103	130926055	130926055	0	EDUCACIÓN BÁSICA
2010	113	532	45200597	48892338	3691741	EDUCACIÓN SECUNDARIA
2010	114	875	52420554	53347599	927045	EDUCACIÓN POST-SECUNDARIA
2010	121	908	85455916	91208756	5752840	SALUD, GENERAL
2010	122	1691	175064372	184391439	9327067	SALUD BÁSICA
2010	130	1405	122525022	124027964	1502942	PROGR. / POLÍTICAS SOBRE POBL. Y SALUD REPR.
2010	140	1377	295432790	302616585	7183795	ABASTECIMIENTO DE AGUA Y SANEAMIENTO
2010	151	4876	458665678	469363318	10697640	GOBIERNO Y SOCIEDAD CIVIL, NO ESPECIFICADO
2010	152	462	87107201	87107201	0	PREV. Y RESOL. DE CONFLICTOS, PAZ Y SEGURIDAD
2010	160	2647	220504144	220504144	0	OTROS SERVICIOS E INFRAESTRUCTURAS SOCIALES
2010	210	635	168288233	173203880	4915647	TRANSPORTE Y ALMACENAMIENTO
2010	220	376	14039385	16382411	2343026	COMUNICACIONES
2010	230	662	240744647	247923709	7179062	GENERACIÓN Y SUMINISTRO DE ENERGÍA. 
2010	240	442	88938582	110251362	21312780	SERVICIOS BANCARIOS Y FINANCIEROS
2010	250	268	105432708	105432708	0	EMPRESAS Y OTROS SERVICIOS
2010	311	1909	453133383	453133383	0	AGRICULTURA
2010	312	236	22322591	22322591	0	SILVICULTURA
2010	313	199	19544760	25016242	5471482	PESCA
2010	321	746	38076013	44269400	6193387	INDUSTRIA
2010	322	88	6730993	6754586	23593	INDUSTRIAS EXTRACTIVAS
2010	323	27	3680780	3680780	0	CONSTRUCCIÓN
2010	331	390	19051447	19052363	916	COMERCIO
2010	332	147	7117087	7117087	0	TURISMO
2010	410	1226	145541984	145541984	0	PROTECCIÓN GENERAL DEL MEDIO AMBIENTE
2010	430	1893	237487566	241445233	3957667	OTROS MULTISECTORIAL
2010	510	132	99774214	99774214	0	APOYO PRESUPUESTARIO GENERAL
2010	520	239	48132041	48132041	0	AYUDA ALIM. PARA EL DES. / SEGURIDAD ALIMENTARIA
2010	530	32	23948574	23948574	0	OTRAS AYUDAS PARA LA ADQUISICIÓN DE BIENES
2010	600	48	298285120	369044203	70759083	ACTIVIDADES RELACIONADAS CON LA DEUDA 
2010	720	1775	287074973	295408306	8333333	AYUDAS DE EMERGENCIA
2010	730	222	51705458	51705458	0	AYUDA A LA RECONSTRUCCIÓN Y REHABILITACIÓN
2010	740	359	17318439	17318439	0	PREVENCIÓN DE DESASTRES
