"CAD","CRS","nombre"
100,,"INFRAESTRUCTURAS Y SERVICIOS SOCIALES"
110,,"EDUCACIÓN"
111,,"EDUCACIÓN, NIVEL NO ESPECIFICADO"
,11110,"Política educativa y gestión administrativa"
,11120,"Servicios e instalaciones educativas y formación"
,11130,"Formación de profesores"
,11182,"Investigación educativa"
112,,"EDUCACIÓN BÁSICA"
,11220,"Educación primaria"
,11230,"Capacitación básica de jóvenes y adultos"
,11240,"Educación primera infancia"
113,,"EDUCACIÓN SECUNDARIA"
,11320,"Educación secundaria"
,11330,"Formación profesional"
114,,"EDUCACIÓN POST-SECUNDARIA"
,11420,"Educación universitaria"
,11430,"Formación superior técnica y de dirección"
120,,"SALUD"
121,,"SALUD, GENERAL"
,12110,"Política sanitaria y gestión administrativa"
,12181,"Enseñanza y formación médicas"
,12182,"Investigación médica"
,12191,"Servicios médicos"
122,,"SALUD BÁSICA"
,12220,"Atención sanitaria básica"
,12230,"Infraestructura sanitaria básica"
,12240,"Nutrición básica"
,12250,"Control de enfermedades infecciosas"
,12261,"Educación sanitaria"
,12262,"Control de la malaria"
,12263,"Control de la tuberculosis"
,12281,"Formación personal sanitario"
130,,"PROGR. / POLÍTICAS SOBRE POBL. Y SALUD REPR."
,13010,"Política sobre población y gestión administrativa"
,13020,"Atención a la salud reproductiva"
,13030,"Planificación familiar"
,13040,"Lucha contra las ETS (Enf. Trans. Sexual), incluido el SIDA"
,13081,"Formación de personal para población y salud reproductiva"
140,,"ABASTECIMIENTO DE AGUA Y SANEAMIENTO"
,14010,"Política de recursos hídricos y gestión administrativa"
,14015,"Protección recursos hídricos"
,14020,"Abastecimiento y depuración de agua-sistemas de envergadura"
,14021,"Suministro de agua-sistema de envergadura"
,14022,"Depuración de agua-sistema de envergadura"
,14030,"Abastecimiento básico de agua potable y saneamiento básico"
,14031,"Abastecimiento básico de agua potable"
,14032,"Saneamiento básico"
,14040,"Desarrollo cuencas fluviales"
,14050,"Eliminación / tratamiento residuos sólidos"
,14081,"Educación y formación en abastecimiento de agua y saneamiento"
150,,"GOBIERNO Y SOCIEDAD CIVIL"
151,,"GOBIERNO Y SOCIEDAD CIVIL, NO ESPECIFICADO"
,15110,"Política de administración y gestión del sector público"
,15111,"Gestión financiera del sector público"
,15112,"Descentralización y apoyo a los gobiernos regionales y locales"
,15113,"Organizaciones de lucha contra la corrupción de las instituciones"
,15130,"Desarrollo legal y judicial"
,15150,"Fortalecimiento de la sociedad civil"
,15151,"Procesos electorales"
,15152,"Legislaturas y partidos políticos"
,15153,"Medios de comunicación y el libre flujo de información"
,15162,"Derechos humanos"
,15170,"Organizaciones e instit. de la igualdad de las mujeres"
152,,"PREV. Y RESOL. DE CONFLICTOS, PAZ Y SEGURIDAD"
,15210,"Gestión y reforma de los sistemas de seguridad"
,15220,"Construcción de la paz y prevención de conflictos"
,15230,"Procesos de consolidación de la paz tras conflictos (NNUU)"
,15240,"Desmovilización y control de la prolif. armas ligeras (SALW)"
,15250,"Retirada de minas antipersonas"
,15261,"Niños soldados: prevención y desmovilización"
160,,"OTROS SERVICIOS E INFRAESTRUCTURAS SOCIALES"
,16010,"Seguridad social, servicios sociales"
